Day_1 	# preset name (USE UNDERSCORES INSTEAD OF SPACES)
AT 	# category
#  bl bb bf rl rb rf yl yb yf pl pb pf wl wb wf cl cb cf
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  	# pikmin
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  	# onions
0 	# num sprouts
0 0 	# bitters, bitters unlocked
0 0 	# spicies, spicies unlocked
7.000000 	# time of day
1 	# day number
1 	# enter kind (FromCave = 0, FromMap = 1)
0 	# num upgrades
0 	# num demo flags
0 	# num EK cutscenes
0 	# num cave cutscene flags
0 	# num destroyed gates
0 	# num finished bridges
0 	# num flattened bags
0	# num plugs destroyed
0 	# num enemy spawns
0 	# num treasure spawn overrides
0	# bridge glitch active
0	# new area zoom (bit per course: VoR=1 AW=2 PP=4 WW=8)
0   # percent cutscene (> 0 if one should play)
2	# treasure mode (0=off, 1=cave floor, 2=checkpoint)
0	# debt (-1=untouched, 0=unpaid, 1=paid)
0	# num collected treasures (zukan, by config index)
0	# num collected items (zukan, by config index)
0	# num cave-held pellets (kind id): kind 0=otakara 1=item
0 0 0	# treasure count, poko count, cave poko count
0	# num per-sublevel deltas (grouped cave presets): per row = floor poko_delta numCaught
